LSOA code (2011),la19nm,england_imd_rank,england_imd_decile,london_imd_rank,london_imd_decile,IDAOP_london_rank,IDAOP_london_decile,IDACI_london_rank,IDACI_london_decile,Income_london_rank,Income_london_decile,employment_london_rank,employment_london_decile,crime_london_rank,crime_london_decile,barriers_london_rank,barriers_london_decile,livingEnv_london_rank,livingEnv_london_decile,health_london_rank,health_london_decile,edu_london_rank,edu_london_decile,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) rank - England,Index of Multiple Deprivation (IMD) decile - England,Index of Multiple Deprivation (IMD) rank rebased for London,Index of Multiple Deprivation (IMD) decile rebased for London,Index of Multiple Deprivation (IMD) quintile rebased for London
E01000001,City of London,29199,9,4576,10,"32,820",10,32806,10,32831,10,32742,10,32662,10,2679,6,7789,4,32113,10,32842,10,City of London 001A,E09000001,City of London,29199.0,9.0,4576.0,10.0,5.0
E01000002,City of London,30379,10,4700,10,"31,938",10,29682,10,29901,10,31190,10,32789,10,3645,8,13070,7,29705,9,32832,10,City of London 001B,E09000001,City of London,30379.0,10.0,4700.0,10.0,5.0
E01000003,City of London,14915,5,2562,6,"16,377",8,27063,9,18510,7,15103,5,29363,10,984,3,4092,2,17600,4,26386,8,City of London 001C,E09000001,City of London,14915.0,5.0,2562.0,6.0,3.0
E01000005,City of London,8678,3,1325,3,"3,885",3,9458,4,6029,2,7833,2,31059,10,1003,3,9397,5,17907,4,12370,2,City of London 001E,E09000001,City of London,8678.0,3.0,1325.0,3.0,2.0
E01000006,Barking and Dagenham,14486,5,2485,6,"12,934",7,13592,6,14023,6,21692,7,18848,8,495,2,10629,6,21581,6,17511,4,Barking and Dagenham 016A,E09000002,Barking and Dagenham,14486.0,5.0,2485.0,6.0,3.0
E01000007,Barking and Dagenham,7256,3,962,2,"2,514",2,6750,3,6261,2,11487,4,4925,2,145,1,11162,6,16414,4,20536,5,Barking and Dagenham 015A,E09000002,Barking and Dagenham,7256.0,3.0,962.0,2.0,1.0
E01000008,Barking and Dagenham,5010,2,423,1,893,1,4452,2,3382,1,6431,2,11113,5,473,1,8672,5,12334,2,10569,2,Barking and Dagenham 015B,E09000002,Barking and Dagenham,5010.0,2.0,423.0,1.0,1.0
E01000009,Barking and Dagenham,6736,3,827,2,"2,238",2,10487,5,7506,3,11132,3,4431,2,270,1,9611,5,9661,2,16819,4,Barking and Dagenham 016B,E09000002,Barking and Dagenham,6736.0,3.0,827.0,2.0,1.0
E01000010,Barking and Dagenham,6900,3,868,2,531,1,8757,4,8902,4,17988,6,2164,1,140,1,2269,1,16050,4,20182,5,Barking and Dagenham 015C,E09000002,Barking and Dagenham,6900.0,3.0,868.0,2.0,1.0
E01000011,Barking and Dagenham,7698,3,1079,3,"2,747",2,10815,5,9033,4,16108,5,8727,4,79,1,4309,2,18178,4,12224,2,Barking and Dagenham 016C,E09000002,Barking and Dagenham,7698.0,3.0,1079.0,3.0,2.0
E01000012,Barking and Dagenham,5990,2,639,2,"3,554",3,4419,2,4570,2,13201,4,8515,4,34,1,5437,3,16887,4,13896,3,Barking and Dagenham 015D,E09000002,Barking and Dagenham,5990.0,2.0,639.0,2.0,1.0
E01000013,Barking and Dagenham,4573,2,326,1,"6,152",4,7335,3,5966,2,7013,2,2236,1,487,2,8569,5,7172,1,11346,2,Barking and Dagenham 013A,E09000002,Barking and Dagenham,4573.0,2.0,326.0,1.0,1.0
E01000014,Barking and Dagenham,5650,2,561,2,"5,474",4,9854,4,6627,3,7932,2,5163,2,421,1,11704,7,10972,2,7994,1,Barking and Dagenham 013B,E09000002,Barking and Dagenham,5650.0,2.0,561.0,2.0,1.0
E01000015,Barking and Dagenham,6405,2,749,2,"4,299",3,6921,3,5755,2,9271,3,10845,5,148,1,11351,7,15626,4,10318,2,Barking and Dagenham 009A,E09000002,Barking and Dagenham,6405.0,2.0,749.0,2.0,1.0
E01000016,Barking and Dagenham,6739,3,830,2,"6,054",4,6841,3,6711,3,9461,3,8699,4,600,2,11815,7,10676,2,8971,1,Barking and Dagenham 009B,E09000002,Barking and Dagenham,6739.0,3.0,830.0,2.0,1.0
E01000017,Barking and Dagenham,4570,2,325,1,"4,966",4,3696,1,4033,1,5016,1,11685,5,434,1,10141,6,6950,1,11972,2,Barking and Dagenham 009C,E09000002,Barking and Dagenham,4570.0,2.0,325.0,1.0,1.0
E01000018,Barking and Dagenham,6504,2,781,2,"7,710",5,5110,2,5998,2,7832,2,9663,4,614,2,11373,7,12006,2,10125,2,Barking and Dagenham 009D,E09000002,Barking and Dagenham,6504.0,2.0,781.0,2.0,1.0
E01000019,Barking and Dagenham,6410,2,752,2,"5,121",4,10305,4,7049,3,7641,2,7142,3,856,2,10667,6,9374,1,10264,2,Barking and Dagenham 023A,E09000002,Barking and Dagenham,6410.0,2.0,752.0,2.0,1.0
E01000020,Barking and Dagenham,5520,2,523,2,"3,361",3,8053,3,5760,2,8401,2,7066,3,613,2,8756,5,6282,1,11245,2,Barking and Dagenham 023B,E09000002,Barking and Dagenham,5520.0,2.0,523.0,2.0,1.0
E01000021,Barking and Dagenham,4611,2,334,1,"2,973",2,4790,2,5007,2,7865,2,8283,3,460,1,3095,1,10085,2,7939,1,Barking and Dagenham 008A,E09000002,Barking and Dagenham,4611.0,2.0,334.0,1.0,1.0
E01000022,Barking and Dagenham,6098,2,665,2,"8,010",5,6989,3,6941,3,7576,2,9002,4,570,2,8559,5,9980,2,9771,2,Barking and Dagenham 008B,E09000002,Barking and Dagenham,6098.0,2.0,665.0,2.0,1.0
E01000023,Barking and Dagenham,5243,2,465,1,"3,920",3,3538,1,5088,2,11325,4,1812,1,443,1,4268,2,15505,3,11907,2,Barking and Dagenham 008C,E09000002,Barking and Dagenham,5243.0,2.0,465.0,1.0,1.0
E01000024,Barking and Dagenham,8333,3,1241,3,"5,988",4,13512,6,10056,4,12570,4,12816,6,453,1,8892,5,12148,2,8860,1,Barking and Dagenham 008D,E09000002,Barking and Dagenham,8333.0,3.0,1241.0,3.0,2.0
E01000025,Barking and Dagenham,5303,2,482,1,"5,223",4,5422,2,5570,2,7683,2,5042,2,343,1,9925,6,10405,2,10465,2,Barking and Dagenham 008E,E09000002,Barking and Dagenham,5303.0,2.0,482.0,1.0,1.0
E01000027,Barking and Dagenham,5097,2,434,1,"8,003",5,5532,2,5730,2,6959,2,3211,1,512,2,15032,8,13752,3,5869,1,Barking and Dagenham 001A,E09000002,Barking and Dagenham,5097.0,2.0,434.0,1.0,1.0
E01000028,Barking and Dagenham,4240,2,256,1,"1,337",1,5919,2,3610,1,6080,1,18303,8,241,1,18166,9,3254,1,9522,1,Barking and Dagenham 001B,E09000002,Barking and Dagenham,4240.0,2.0,256.0,1.0,1.0
E01000029,Barking and Dagenham,12389,4,2123,5,"14,665",7,16396,7,14506,6,17567,6,11162,5,303,1,13867,8,20355,5,15570,3,Barking and Dagenham 001C,E09000002,Barking and Dagenham,12389.0,4.0,2123.0,5.0,3.0
E01000030,Barking and Dagenham,4760,2,365,1,"6,752",4,2800,1,3448,1,5569,1,9086,4,539,2,14570,8,15751,4,5699,1,Barking and Dagenham 001D,E09000002,Barking and Dagenham,4760.0,2.0,365.0,1.0,1.0
E01000031,Barking and Dagenham,12267,4,2105,5,"10,229",6,12475,5,12951,5,17380,6,4231,2,1790,4,10136,6,15303,3,19087,5,Barking and Dagenham 002A,E09000002,Barking and Dagenham,12267.0,4.0,2105.0,5.0,3.0
E01000032,Barking and Dagenham,8037,3,1165,3,"10,623",6,12340,5,10854,5,11603,4,4275,2,999,3,4853,2,14597,3,11882,2,Barking and Dagenham 002B,E09000002,Barking and Dagenham,8037.0,3.0,1165.0,3.0,2.0
E01000033,Barking and Dagenham,4879,2,395,1,"6,836",4,2770,1,3732,1,7857,2,14128,6,45,1,14002,8,11932,2,7805,1,Barking and Dagenham 006A,E09000002,Barking and Dagenham,4879.0,2.0,395.0,1.0,1.0
E01000034,Barking and Dagenham,5575,2,544,2,"4,183",3,6977,3,5759,2,6863,2,11900,5,502,2,16800,9,7279,1,7148,1,Barking and Dagenham 003A,E09000002,Barking and Dagenham,5575.0,2.0,544.0,2.0,1.0
E01000035,Barking and Dagenham,10070,4,1659,4,"10,771",6,8675,4,10489,4,13897,4,12838,6,1106,3,13084,7,10364,2,10551,2,Barking and Dagenham 010A,E09000002,Barking and Dagenham,10070.0,4.0,1659.0,4.0,2.0
E01000036,Barking and Dagenham,15028,5,2584,6,"17,831",8,12404,5,14690,6,17997,6,10655,5,2239,5,10188,6,18923,5,16612,4,Barking and Dagenham 010B,E09000002,Barking and Dagenham,15028.0,5.0,2584.0,6.0,3.0
E01000037,Barking and Dagenham,16128,5,2790,6,"19,150",8,16218,7,16924,7,12386,4,17649,8,2639,6,15997,9,23465,6,13611,3,Barking and Dagenham 003B,E09000002,Barking and Dagenham,16128.0,5.0,2790.0,6.0,3.0
E01000038,Barking and Dagenham,14671,5,2522,6,"12,816",7,9850,4,12877,5,16560,5,13426,6,2976,7,10547,6,17616,4,14630,3,Barking and Dagenham 003C,E09000002,Barking and Dagenham,14671.0,5.0,2522.0,6.0,3.0
E01000039,Barking and Dagenham,12542,4,2151,5,"10,237",6,12722,5,12861,5,17820,6,15241,7,686,2,17185,9,13416,3,13908,3,Barking and Dagenham 003D,E09000002,Barking and Dagenham,12542.0,4.0,2151.0,5.0,3.0
E01000040,Barking and Dagenham,6028,2,650,2,"4,009",3,6212,3,5648,2,9313,3,7641,3,444,1,9203,5,13665,3,8063,1,Barking and Dagenham 019A,E09000002,Barking and Dagenham,6028.0,2.0,650.0,2.0,1.0
E01000041,Barking and Dagenham,6601,3,802,2,"8,307",5,10224,4,8647,4,11669,4,10010,4,243,1,7142,4,10992,2,7142,1,Barking and Dagenham 017A,E09000002,Barking and Dagenham,6601.0,3.0,802.0,2.0,1.0
E01000042,Barking and Dagenham,3842,2,197,1,"2,664",2,5029,2,3492,1,5445,1,12499,6,28,1,11945,7,8795,1,8009,1,Barking and Dagenham 017B,E09000002,Barking and Dagenham,3842.0,2.0,197.0,1.0,1.0
E01000043,Barking and Dagenham,8992,3,1407,3,"7,080",5,12693,5,10803,5,15314,5,8080,3,676,2,6764,4,15334,3,8996,1,Barking and Dagenham 019B,E09000002,Barking and Dagenham,8992.0,3.0,1407.0,3.0,2.0
E01000044,Barking and Dagenham,8825,3,1362,3,"11,619",6,12212,5,12202,5,16632,6,2950,1,702,2,3119,1,22250,6,12369,2,Barking and Dagenham 016D,E09000002,Barking and Dagenham,8825.0,3.0,1362.0,3.0,2.0
E01000045,Barking and Dagenham,5639,2,559,2,"6,039",4,8928,4,7494,3,9056,3,2160,1,548,2,6123,3,11924,2,11338,2,Barking and Dagenham 017C,E09000002,Barking and Dagenham,5639.0,2.0,559.0,2.0,1.0
E01000046,Barking and Dagenham,8138,3,1194,3,"6,970",5,9558,4,8795,4,10956,3,17088,8,479,1,8655,5,12756,3,9321,1,Barking and Dagenham 017D,E09000002,Barking and Dagenham,8138.0,3.0,1194.0,3.0,2.0
E01000048,Barking and Dagenham,3117,1,93,1,542,1,1664,1,1195,1,4191,1,12778,6,221,1,14836,8,9163,1,10073,2,Barking and Dagenham 021B,E09000002,Barking and Dagenham,3117.0,1.0,93.0,1.0,1.0
E01000049,Barking and Dagenham,3928,2,211,1,"2,013",2,3071,1,2525,1,7156,2,10784,5,49,1,10818,6,10214,2,9454,1,Barking and Dagenham 021C,E09000002,Barking and Dagenham,3928.0,2.0,211.0,1.0,1.0
E01000050,Barking and Dagenham,5994,2,641,2,"3,780",3,13867,6,8360,3,10452,3,6059,2,278,1,5545,3,7817,1,12144,2,Barking and Dagenham 019C,E09000002,Barking and Dagenham,5994.0,2.0,641.0,2.0,1.0
E01000051,Barking and Dagenham,5228,2,462,1,"4,347",3,3558,1,4785,2,8540,2,4814,2,429,1,10252,6,10460,2,9315,1,Barking and Dagenham 021D,E09000002,Barking and Dagenham,5228.0,2.0,462.0,1.0,1.0
E01000052,Barking and Dagenham,6549,2,790,2,"4,952",4,9291,4,7440,3,10931,3,11417,5,99,1,4788,2,18434,5,9645,1,Barking and Dagenham 019D,E09000002,Barking and Dagenham,6549.0,2.0,790.0,2.0,1.0
E01000053,Barking and Dagenham,4249,2,260,1,"3,562",3,5363,2,5037,2,8972,3,2144,1,200,1,10870,6,6865,1,9519,1,Barking and Dagenham 020A,E09000002,Barking and Dagenham,4249.0,2.0,260.0,1.0,1.0
E01000054,Barking and Dagenham,8124,3,1192,3,"8,518",5,7230,3,8012,3,13318,4,8887,4,717,2,8004,4,13087,3,9978,2,Barking and Dagenham 018A,E09000002,Barking and Dagenham,8124.0,3.0,1192.0,3.0,2.0
E01000055,Barking and Dagenham,7604,3,1053,3,"5,627",4,4611,2,6032,2,10475,3,15940,7,650,2,9167,5,14090,3,9752,2,Barking and Dagenham 018B,E09000002,Barking and Dagenham,7604.0,3.0,1053.0,3.0,2.0
E01000056,Barking and Dagenham,5571,2,542,2,"7,170",5,8437,4,6839,3,7099,2,9269,4,100,1,12777,7,9652,2,10670,2,Barking and Dagenham 018C,E09000002,Barking and Dagenham,5571.0,2.0,542.0,2.0,1.0
E01000057,Barking and Dagenham,6712,3,824,2,"9,204",5,6686,3,6909,3,9877,3,7156,3,603,2,8781,5,14559,3,8006,1,Barking and Dagenham 012A,E09000002,Barking and Dagenham,6712.0,3.0,824.0,2.0,1.0
E01000058,Barking and Dagenham,7176,3,937,2,"3,947",3,6900,3,6736,3,10069,3,11053,5,410,1,10066,6,13772,3,10397,2,Barking and Dagenham 018D,E09000002,Barking and Dagenham,7176.0,3.0,937.0,2.0,1.0
E01000059,Barking and Dagenham,6950,3,878,2,"6,592",4,10451,4,8297,3,8597,2,10248,4,490,2,7356,4,13932,3,9341,1,Barking and Dagenham 013C,E09000002,Barking and Dagenham,6950.0,3.0,878.0,2.0,1.0
E01000060,Barking and Dagenham,5475,2,512,2,"6,146",4,7232,3,6512,3,8627,2,2737,1,248,1,11955,7,11879,2,10548,2,Barking and Dagenham 006B,E09000002,Barking and Dagenham,5475.0,2.0,512.0,2.0,1.0
E01000061,Barking and Dagenham,2802,1,64,1,876,1,2377,1,2125,1,3923,1,14393,6,192,1,18454,9,4136,1,5414,1,Barking and Dagenham 006C,E09000002,Barking and Dagenham,2802.0,1.0,64.0,1.0,1.0
E01000062,Barking and Dagenham,9781,3,1586,4,"9,404",6,11417,5,11124,5,14664,5,8288,4,501,2,15164,8,18285,5,8286,1,Barking and Dagenham 006D,E09000002,Barking and Dagenham,9781.0,3.0,1586.0,4.0,2.0
E01000063,Barking and Dagenham,6520,2,784,2,"9,933",6,8950,4,7943,3,9225,3,11295,5,782,2,6036,3,11816,2,6017,1,Barking and Dagenham 004A,E09000002,Barking and Dagenham,6520.0,2.0,784.0,2.0,1.0
E01000064,Barking and Dagenham,5791,2,588,2,"7,753",5,6500,3,6220,2,8440,2,13303,6,166,1,6602,3,10490,2,11115,2,Barking and Dagenham 006E,E09000002,Barking and Dagenham,5791.0,2.0,588.0,2.0,1.0
E01000065,Barking and Dagenham,4296,2,272,1,"4,265",3,7188,3,5065,2,4770,1,11574,5,307,1,9210,5,5745,1,10220,2,Barking and Dagenham 007A,E09000002,Barking and Dagenham,4296.0,2.0,272.0,1.0,1.0
E01000066,Barking and Dagenham,10329,4,1707,4,"6,256",4,14705,6,10725,5,13108,4,20658,9,136,1,16885,9,15169,3,14926,3,Barking and Dagenham 011A,E09000002,Barking and Dagenham,10329.0,4.0,1707.0,4.0,2.0
E01000067,Barking and Dagenham,13573,5,2346,5,"7,362",5,13001,6,12329,5,19905,7,10735,5,725,2,14035,8,21963,6,16594,4,Barking and Dagenham 011B,E09000002,Barking and Dagenham,13573.0,5.0,2346.0,5.0,3.0
E01000068,Barking and Dagenham,10421,4,1735,4,"6,374",4,16195,7,13349,6,17599,6,3970,2,820,2,8062,4,13509,3,16416,4,Barking and Dagenham 016E,E09000002,Barking and Dagenham,10421.0,4.0,1735.0,4.0,2.0
E01000069,Barking and Dagenham,17580,6,3009,7,"11,375",6,20929,8,18292,7,18888,6,16201,7,2225,5,9748,6,25051,7,16211,4,Barking and Dagenham 011C,E09000002,Barking and Dagenham,17580.0,6.0,3009.0,7.0,4.0
E01000070,Barking and Dagenham,13531,5,2337,5,"11,616",6,16928,7,14981,6,17070,6,5018,2,1584,4,10170,6,22662,6,17805,4,Barking and Dagenham 011D,E09000002,Barking and Dagenham,13531.0,5.0,2337.0,5.0,3.0
E01000071,Barking and Dagenham,15370,5,2643,6,"7,099",5,13267,6,12518,5,22157,7,18962,8,889,2,13807,8,20051,5,18062,4,Barking and Dagenham 011E,E09000002,Barking and Dagenham,15370.0,5.0,2643.0,6.0,3.0
E01000072,Barking and Dagenham,3974,2,219,1,"4,356",3,4870,2,4451,2,7689,2,2249,1,350,1,8754,5,9357,1,7028,1,Barking and Dagenham 017E,E09000002,Barking and Dagenham,3974.0,2.0,219.0,1.0,1.0
E01000073,Barking and Dagenham,4645,2,343,1,"3,775",3,7658,3,6133,2,7982,2,1554,1,623,2,12681,7,8284,1,6712,1,Barking and Dagenham 012B,E09000002,Barking and Dagenham,4645.0,2.0,343.0,1.0,1.0
E01000074,Barking and Dagenham,5870,2,612,2,"5,611",4,5018,2,4794,2,8763,2,16602,7,311,1,13256,8,9581,2,7662,1,Barking and Dagenham 012C,E09000002,Barking and Dagenham,5870.0,2.0,612.0,2.0,1.0
E01000075,Barking and Dagenham,5215,2,460,1,"8,331",5,5360,2,6873,3,9943,3,3101,1,521,2,4325,2,13939,3,6343,1,Barking and Dagenham 012D,E09000002,Barking and Dagenham,5215.0,2.0,460.0,1.0,1.0
E01000076,Barking and Dagenham,5451,2,506,2,"5,967",4,9330,4,6177,2,6722,2,12141,5,178,1,10531,6,14560,3,6380,1,Barking and Dagenham 012E,E09000002,Barking and Dagenham,5451.0,2.0,506.0,2.0,1.0
E01000077,Barking and Dagenham,3967,2,217,1,"4,001",3,4647,2,3973,1,5768,1,9244,4,581,2,6233,3,6631,1,7276,1,Barking and Dagenham 008F,E09000002,Barking and Dagenham,3967.0,2.0,217.0,1.0,1.0
E01000078,Barking and Dagenham,5874,2,613,2,"7,609",5,3524,1,5086,2,8778,2,9512,4,567,2,7156,4,15460,3,7216,1,Barking and Dagenham 007B,E09000002,Barking and Dagenham,5874.0,2.0,613.0,2.0,1.0
E01000079,Barking and Dagenham,6057,2,658,2,"3,522",3,6811,3,5141,2,7379,2,12695,6,277,1,9200,5,15314,3,11072,2,Barking and Dagenham 009E,E09000002,Barking and Dagenham,6057.0,2.0,658.0,2.0,1.0
E01000080,Barking and Dagenham,6596,3,801,2,"7,102",5,8697,4,7274,3,6934,2,14386,6,475,1,12095,7,9777,2,10114,2,Barking and Dagenham 007C,E09000002,Barking and Dagenham,6596.0,3.0,801.0,2.0,1.0
E01000081,Barking and Dagenham,7738,3,1091,3,"8,809",5,9610,4,9449,4,10130,3,13643,6,604,2,7318,4,12703,3,8201,1,Barking and Dagenham 007D,E09000002,Barking and Dagenham,7738.0,3.0,1091.0,3.0,2.0
E01000082,Barking and Dagenham,9100,3,1431,3,"8,412",5,12181,5,9753,4,10671,3,19918,9,653,2,8806,5,17747,4,8160,1,Barking and Dagenham 007E,E09000002,Barking and Dagenham,9100.0,3.0,1431.0,3.0,2.0
E01000083,Barking and Dagenham,6111,2,668,2,"7,666",5,6969,3,6904,3,8025,2,9982,4,573,2,6063,3,10842,2,9793,2,Barking and Dagenham 007F,E09000002,Barking and Dagenham,6111.0,2.0,668.0,2.0,1.0
E01000084,Barking and Dagenham,4315,2,277,1,"5,988",4,6043,2,5030,2,7393,2,1715,1,626,2,9648,5,11120,2,6237,1,Barking and Dagenham 013D,E09000002,Barking and Dagenham,4315.0,2.0,277.0,1.0,1.0
E01000085,Barking and Dagenham,5838,2,601,2,"4,473",3,10257,4,7390,3,9203,3,3245,1,420,1,7484,4,19518,5,6360,1,Barking and Dagenham 013E,E09000002,Barking and Dagenham,5838.0,2.0,601.0,2.0,1.0
E01000086,Barking and Dagenham,4822,2,380,1,"2,071",2,7715,3,5632,2,7318,2,4717,2,689,2,11002,6,5137,1,9185,1,Barking and Dagenham 013F,E09000002,Barking and Dagenham,4822.0,2.0,380.0,1.0,1.0
E01000087,Barking and Dagenham,6122,2,674,2,"5,755",4,6195,3,5212,2,8331,2,14563,7,246,1,8076,4,15307,3,9744,2,Barking and Dagenham 020B,E09000002,Barking and Dagenham,6122.0,2.0,674.0,2.0,1.0
E01000088,Barking and Dagenham,8574,3,1299,3,"11,461",6,11795,5,10790,5,12495,4,8365,4,586,2,6458,3,12126,2,13589,3,Barking and Dagenham 020C,E09000002,Barking and Dagenham,8574.0,3.0,1299.0,3.0,2.0
E01000089,Barking and Dagenham,8508,3,1279,3,"10,978",6,9002,4,9981,4,13980,5,13690,6,325,1,3962,2,18445,5,10703,2,Barking and Dagenham 020D,E09000002,Barking and Dagenham,8508.0,3.0,1279.0,3.0,2.0
E01000090,Barking and Dagenham,8873,3,1374,3,"13,059",7,6899,3,8855,4,14060,5,6503,3,468,1,9116,5,18942,5,12523,2,Barking and Dagenham 020E,E09000002,Barking and Dagenham,8873.0,3.0,1374.0,3.0,2.0
E01000091,Barking and Dagenham,3669,2,168,1,"4,494",3,5868,2,3775,1,4635,1,3573,1,263,1,12738,7,11282,2,7594,1,Barking and Dagenham 022A,E09000002,Barking and Dagenham,3669.0,2.0,168.0,1.0,1.0
E01000092,Barking and Dagenham,6348,2,736,2,"2,433",2,6203,3,5804,2,11606,4,7000,3,11,1,8818,5,16131,4,14566,3,Barking and Dagenham 019E,E09000002,Barking and Dagenham,6348.0,2.0,736.0,2.0,1.0
E01000093,Barking and Dagenham,2669,1,48,1,"3,602",3,3607,1,3596,1,5065,1,2977,1,190,1,3282,1,5519,1,9411,1,Barking and Dagenham 022B,E09000002,Barking and Dagenham,2669.0,1.0,48.0,1.0,1.0
E01000094,Barking and Dagenham,8930,3,1392,3,"4,696",3,10679,5,9003,4,13554,4,8737,4,4,1,14763,8,16555,4,21017,6,Barking and Dagenham 022C,E09000002,Barking and Dagenham,8930.0,3.0,1392.0,3.0,2.0
E01000095,Barking and Dagenham,6984,3,885,2,"5,578",4,6227,3,6925,3,13425,4,3990,2,7,1,16305,9,17759,4,12341,2,Barking and Dagenham 018E,E09000002,Barking and Dagenham,6984.0,3.0,885.0,2.0,1.0
E01000096,Barking and Dagenham,3997,2,224,1,"7,216",5,2772,1,3651,1,7977,2,1816,1,261,1,8823,5,15882,4,7010,1,Barking and Dagenham 022D,E09000002,Barking and Dagenham,3997.0,2.0,224.0,1.0,1.0
E01000097,Barking and Dagenham,4866,2,391,1,"3,003",2,7948,3,5351,2,8344,2,9503,4,336,1,9628,5,5831,1,7462,1,Barking and Dagenham 023C,E09000002,Barking and Dagenham,4866.0,2.0,391.0,1.0,1.0
E01000098,Barking and Dagenham,4455,2,303,1,"3,976",3,6387,3,4575,2,5822,1,4288,2,618,2,9574,5,9792,2,8040,1,Barking and Dagenham 023D,E09000002,Barking and Dagenham,4455.0,2.0,303.0,1.0,1.0
E01000099,Barking and Dagenham,8373,3,1251,3,"4,653",3,10077,4,8476,4,11800,4,16553,7,335,1,10685,6,12858,3,10808,2,Barking and Dagenham 023E,E09000002,Barking and Dagenham,8373.0,3.0,1251.0,3.0,2.0
E01000100,Barking and Dagenham,7152,3,933,2,"7,748",5,12557,5,9665,4,10100,3,7277,3,675,2,4920,2,14418,3,8731,1,Barking and Dagenham 004B,E09000002,Barking and Dagenham,7152.0,3.0,933.0,2.0,1.0
E01000101,Barking and Dagenham,4126,2,244,1,"3,708",3,4657,2,3849,1,6223,1,5094,2,634,2,5302,3,9545,2,8974,1,Barking and Dagenham 004C,E09000002,Barking and Dagenham,4126.0,2.0,244.0,1.0,1.0
E01000102,Barking and Dagenham,3557,2,149,1,"2,897",2,3532,1,3043,1,4646,1,5806,2,561,2,6799,4,7036,1,11364,2,Barking and Dagenham 007G,E09000002,Barking and Dagenham,3557.0,2.0,149.0,1.0,1.0
E01000103,Barking and Dagenham,6708,3,823,2,"5,718",4,7739,3,8028,3,10618,3,7987,3,128,1,15230,8,9979,2,10205,2,Barking and Dagenham 014A,E09000002,Barking and Dagenham,6708.0,3.0,823.0,2.0,1.0
E01000104,Barking and Dagenham,6002,2,644,2,"5,031",4,5584,2,5419,2,8092,2,14637,7,163,1,16764,9,11958,2,7929,1,Barking and Dagenham 014B,E09000002,Barking and Dagenham,6002.0,2.0,644.0,2.0,1.0
E01000105,Barking and Dagenham,3229,1,104,1,"2,176",2,5699,2,4221,1,5349,1,3225,1,326,1,11416,7,4774,1,6402,1,Barking and Dagenham 014C,E09000002,Barking and Dagenham,3229.0,1.0,104.0,1.0,1.0
E01000106,Barking and Dagenham,3355,2,115,1,"3,214",3,3737,1,3032,1,5211,1,5569,2,109,1,11010,6,7543,1,9725,2,Barking and Dagenham 014D,E09000002,Barking and Dagenham,3355.0,2.0,115.0,1.0,1.0
E01000107,Barking and Dagenham,8865,3,1372,3,"13,271",7,8675,4,10392,4,13329,4,17090,8,555,2,13252,8,8175,1,8851,1,Barking and Dagenham 010C,E09000002,Barking and Dagenham,8865.0,3.0,1372.0,3.0,2.0
E01000108,Barking and Dagenham,8940,3,1394,3,"15,136",8,5571,2,8694,4,11946,4,13794,6,880,2,6178,3,13637,3,13397,3,Barking and Dagenham 010D,E09000002,Barking and Dagenham,8940.0,3.0,1394.0,3.0,2.0
E01000109,Barking and Dagenham,10373,4,1721,4,"14,500",7,14044,6,13637,6,15539,5,4478,2,1020,3,6609,3,19119,5,12247,2,Barking and Dagenham 004D,E09000002,Barking and Dagenham,10373.0,4.0,1721.0,4.0,2.0
E01000110,Barking and Dagenham,16365,5,2817,6,"16,839",8,14129,6,14678,6,16725,6,21211,9,1998,5,14867,8,16046,4,19168,5,Barking and Dagenham 002C,E09000002,Barking and Dagenham,16365.0,5.0,2817.0,6.0,3.0
E01000111,Barking and Dagenham,8544,3,1292,3,"6,411",4,10363,4,8457,4,10920,3,11745,5,566,2,10690,6,13246,3,13216,3,Barking and Dagenham 002D,E09000002,Barking and Dagenham,8544.0,3.0,1292.0,3.0,2.0
E01000112,Barking and Dagenham,10925,4,1827,4,"7,486",5,12423,5,12627,5,19995,7,7729,3,657,2,4026,2,21026,6,14420,3,Barking and Dagenham 002E,E09000002,Barking and Dagenham,10925.0,4.0,1827.0,4.0,2.0
E01000113,Barking and Dagenham,10601,4,1769,4,"10,921",6,9204,4,10322,4,16043,5,6421,3,752,2,10582,6,17933,4,15827,4,Barking and Dagenham 002F,E09000002,Barking and Dagenham,10601.0,4.0,1769.0,4.0,2.0
E01000114,Barking and Dagenham,11855,4,2019,5,"14,710",7,12586,5,13863,6,17792,6,10125,4,909,2,6563,3,17851,4,14308,3,Barking and Dagenham 004E,E09000002,Barking and Dagenham,11855.0,4.0,2019.0,5.0,3.0
E01000115,Barnet,29174,9,4575,10,"27,608",10,23445,9,24852,9,26011,8,24388,10,4571,10,16164,9,31772,10,28835,9,Barnet 009A,E09000003,Barnet,29174.0,9.0,4575.0,10.0,5.0
E01000116,Barnet,27318,9,4345,9,"14,913",7,25041,9,20597,8,25160,8,22839,9,4400,10,16614,9,31379,10,28684,8,Barnet 009B,E09000003,Barnet,27318.0,9.0,4345.0,9.0,5.0
E01000117,Barnet,24958,8,4032,9,"21,610",9,27210,9,21222,8,21069,7,19170,8,4122,9,17080,9,29887,9,26087,7,Barnet 010A,E09000003,Barnet,24958.0,8.0,4032.0,9.0,5.0
