LSOA code (2011),la19nm,england_imd_rank,england_imd_decile,london_imd_rank,london_imd_decile,IDAOP_london_rank,IDAOP_london_decile,IDACI_london_rank,IDACI_london_decile,Income_london_rank,Income_london_decile,employment_london_rank,employment_london_decile,crime_london_rank,crime_london_decile,barriers_london_rank,barriers_london_decile,livingEnv_london_rank,livingEnv_london_decile,health_london_rank,health_london_decile,edu_london_rank,edu_london_decile,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) rank - England,Index of Multiple Deprivation (IMD) decile - England,Index of Multiple Deprivation (IMD) rank rebased for London,Index of Multiple Deprivation (IMD) decile rebased for London,Index of Multiple Deprivation (IMD) quintile rebased for London
E01000785,Bromley,7238,3,957,2,"8,393",5,2219,1,5056,2,6280,2,4809,2,3364,7,15185,8,16515,4,9064,1,Bromley 001F,E09000006,Bromley,7238.0,3.0,957.0,2.0,1.0
E01000786,Bromley,25123,8,4054,9,"31,844",10,20190,8,27873,10,22826,8,12619,6,2336,5,24204,10,29973,9,28608,8,Bromley 032A,E09000006,Bromley,25123.0,8.0,4054.0,9.0,5.0
E01000787,Bromley,12471,4,2138,5,"16,659",8,9678,4,12226,5,11236,3,5106,2,3175,7,17821,9,24761,7,10824,2,Bromley 029C,E09000006,Bromley,12471.0,4.0,2138.0,5.0,3.0
E01000788,Bromley,12035,4,2053,5,"17,122",8,9680,4,12764,5,15400,5,2335,1,2287,5,8088,4,27511,8,16498,4,Bromley 029D,E09000006,Bromley,12035.0,4.0,2053.0,5.0,3.0
E01000789,Bromley,5332,2,487,2,"6,926",5,2259,1,2622,1,4560,1,11330,5,2164,5,21529,10,15537,3,5391,1,Bromley 032B,E09000006,Bromley,5332.0,2.0,487.0,2.0,1.0
E01000790,Bromley,20322,7,3443,8,"21,728",9,17272,7,19702,8,20846,7,15180,7,3360,7,4866,2,30619,9,27798,8,Bromley 028C,E09000006,Bromley,20322.0,7.0,3443.0,8.0,4.0
E01000791,Bromley,24944,8,4030,9,"26,320",10,22809,8,25336,9,22071,7,17283,8,3609,8,19921,10,28476,8,21655,6,Bromley 029E,E09000006,Bromley,24944.0,8.0,4030.0,9.0,5.0
E01000792,Bromley,15361,5,2640,6,"21,547",9,7090,3,11822,5,13263,4,4379,2,4368,10,24584,10,25692,7,15689,3,Bromley 032C,E09000006,Bromley,15361.0,5.0,2640.0,6.0,3.0
E01000793,Bromley,30674,10,4728,10,"31,195",10,32310,10,31567,10,30602,10,23975,10,3922,9,19826,10,29145,9,29926,9,Bromley 032D,E09000006,Bromley,30674.0,10.0,4728.0,10.0,5.0
E01000794,Bromley,31758,10,4802,10,"31,105",10,31893,10,30843,10,29892,10,30705,10,4102,9,25973,10,30687,9,29209,9,Bromley 035E,E09000006,Bromley,31758.0,10.0,4802.0,10.0,5.0
E01000795,Bromley,19648,6,3342,7,"19,461",9,12075,5,15405,6,15132,5,24301,10,3014,7,23263,10,22839,6,21647,6,Bromley 032E,E09000006,Bromley,19648.0,6.0,3342.0,7.0,4.0
E01000796,Bromley,7964,3,1148,3,"1,182",1,4841,2,4535,2,6085,1,13933,6,2111,5,19355,10,15806,4,12151,2,Bromley 009C,E09000006,Bromley,7964.0,3.0,1148.0,3.0,2.0
E01000797,Bromley,20518,7,3473,8,"20,232",9,28601,10,24859,9,20102,7,5310,2,3206,7,11028,6,26756,8,29759,9,Bromley 013E,E09000006,Bromley,20518.0,7.0,3473.0,8.0,4.0
E01000798,Bromley,3678,2,171,1,"3,053",2,744,1,2851,1,4295,1,2298,1,1844,4,7409,4,11895,2,7363,1,Bromley 009D,E09000006,Bromley,3678.0,2.0,171.0,1.0,1.0
E01000799,Bromley,14874,5,2556,6,"11,455",6,16295,7,14179,6,13913,4,5342,2,3599,8,7021,4,26257,8,23817,7,Bromley 004A,E09000006,Bromley,14874.0,5.0,2556.0,6.0,3.0
E01000800,Bromley,8996,3,1408,3,"5,232",4,6497,3,7874,3,9534,3,2641,1,2399,5,9642,5,22181,6,14958,3,Bromley 009E,E09000006,Bromley,8996.0,3.0,1408.0,3.0,2.0
E01000801,Bromley,15958,5,2761,6,"17,980",8,12225,5,14328,6,14468,5,13220,6,3276,7,9002,5,24273,7,18341,5,Bromley 015E,E09000006,Bromley,15958.0,5.0,2761.0,6.0,3.0
E01000802,Bromley,14577,5,2500,6,"8,447",5,11633,5,12127,5,16412,5,10504,5,3182,7,3390,2,24957,7,25851,7,Bromley 004B,E09000006,Bromley,14577.0,5.0,2500.0,6.0,3.0
E01000803,Bromley,16781,6,2894,6,"13,121",7,14583,6,14233,6,16370,5,15730,7,2627,6,8694,5,22411,6,25194,7,Bromley 004C,E09000006,Bromley,16781.0,6.0,2894.0,6.0,3.0
E01000804,Bromley,26655,9,4261,9,"21,118",9,28409,10,26157,9,27379,9,11826,5,4086,9,13010,7,30978,10,29917,9,Bromley 004D,E09000006,Bromley,26655.0,9.0,4261.0,9.0,5.0
E01000805,Bromley,12954,4,2237,5,"9,298",6,13014,6,12174,5,17766,6,6038,2,3624,8,3290,1,21391,6,17462,4,Bromley 004E,E09000006,Bromley,12954.0,4.0,2237.0,5.0,3.0
E01000806,Bromley,10370,4,1720,4,"3,999",3,6011,2,7318,3,11780,4,11747,5,1961,5,9663,6,17794,4,14314,3,Bromley 009F,E09000006,Bromley,10370.0,4.0,1720.0,4.0,2.0
